,0,1
0,2019-01-02,"{'planned': {'credit': 0, 'debit': 60000.0}, 'actual': {'credit': 0, 'debit': 11629.0}}"
1,2019-01-10,"{'planned': {'credit': 0, 'debit': 2000.0}, 'actual': {'credit': 0, 'debit': 0}}"
2,2019-01-15,"{'planned': {'credit': 0, 'debit': 15000.0}, 'actual': {'credit': 0, 'debit': 0}}"
3,2019-01-01,"{'planned': {'credit': 90921.5, 'debit': 0}, 'actual': {'credit': 91372.5, 'debit': 0}}"
4,2019-01-05,"{'planned': {'credit': 0, 'debit': 0}, 'actual': {'credit': 0, 'debit': 43168.0}}"
5,2019-01-11,"{'planned': {'credit': 0, 'debit': 0}, 'actual': {'credit': 0, 'debit': 17194.0}}"
6,2019-01-13,"{'planned': {'credit': 0, 'debit': 0}, 'actual': {'credit': 0, 'debit': 3243.02}}"
7,2019-01-17,"{'planned': {'credit': 0, 'debit': 0}, 'actual': {'credit': 0, 'debit': 2311.73}}"
