,0,1
0,homeloan,"{'2019-01': {'planned': {'credit': 0, 'debit': 50000.0}, 'actual': {'credit': 0, 'debit': 43168.0}}}"
1,loan,"{'2019-01': {'planned': {'credit': 0, 'debit': 12000.0}, 'actual': {'credit': 0, 'debit': 11629.0}}}"
2,insurance_rd,"{'2019-01': {'planned': {'credit': 0, 'debit': 15000.0}, 'actual': {'credit': 0, 'debit': 0}}}"
3,salary,"{'2019-01': {'planned': {'credit': 90921.5, 'debit': 0}, 'actual': {'credit': 90921.5, 'debit': 0}}}"
4,misc,"{'2019-01': {'planned': {'credit': 0, 'debit': 0}, 'actual': {'credit': 451.0, 'debit': 0}}}"
5,insurance,"{'2019-01': {'planned': {'credit': 0, 'debit': 0}, 'actual': {'credit': 0, 'debit': 17194.0}}}"
6,entertainment,"{'2019-01': {'planned': {'credit': 0, 'debit': 0}, 'actual': {'credit': 0, 'debit': 5143.02}}}"
7,utility,"{'2019-01': {'planned': {'credit': 0, 'debit': 0}, 'actual': {'credit': 0, 'debit': 411.73}}}"
